Entity,Code,Year,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)
Andorra,AND,2004,5.29
Andorra,AND,2005,5.59
Andorra,AND,2006,4.97
Andorra,AND,2007,4.92
Andorra,AND,2008,5.67
Andorra,AND,2009,6.08
Andorra,AND,2010,7.68
Andorra,AND,2011,7.62
Andorra,AND,2012,6.71
Andorra,AND,2013,6.8
Andorra,AND,2014,6.77
Angola,AGO,2000,1.91
Angola,AGO,2001,4.48
Angola,AGO,2002,3.33
Angola,AGO,2003,3.55
Angola,AGO,2004,3.97
Angola,AGO,2005,2.85
Angola,AGO,2006,2.69
Angola,AGO,2007,2.97
Angola,AGO,2008,3.32
Angola,AGO,2009,3.84
Angola,AGO,2010,2.7
Angola,AGO,2011,2.65
Angola,AGO,2012,2.4
Angola,AGO,2013,2.73
Angola,AGO,2014,2.43
Antigua and Barbuda,ATG,2000,4.72
Antigua and Barbuda,ATG,2001,5.44
Antigua and Barbuda,ATG,2002,5.29
Antigua and Barbuda,ATG,2003,5.58
Antigua and Barbuda,ATG,2004,5.12
Antigua and Barbuda,ATG,2005,4.99
Antigua and Barbuda,ATG,2006,4.63
Antigua and Barbuda,ATG,2007,4.45
Antigua and Barbuda,ATG,2008,4.2
Antigua and Barbuda,ATG,2009,4.18
Antigua and Barbuda,ATG,2010,5.38
Antigua and Barbuda,ATG,2011,5.44
Antigua and Barbuda,ATG,2012,5.48
Antigua and Barbuda,ATG,2013,5.51
Antigua and Barbuda,ATG,2014,5.87
Argentina,ARG,2000,8.22
Argentina,ARG,2001,8.37
Argentina,ARG,2002,7.39
Argentina,ARG,2003,6.89
Argentina,ARG,2004,7.23
Argentina,ARG,2005,7.61
Argentina,ARG,2006,7.64
Argentina,ARG,2007,7.83
Argentina,ARG,2008,8.18
Argentina,ARG,2009,9.46
Argentina,ARG,2010,9.45
Argentina,ARG,2011,9.42
Argentina,ARG,2012,9.83
Argentina,ARG,2013,9.78
Argentina,ARG,2014,9.67
Armenia,ARM,2000,4.2
Armenia,ARM,2001,4.65
Armenia,ARM,2002,7.61
Armenia,ARM,2003,7.18
Armenia,ARM,2004,6.06
Armenia,ARM,2005,5.86
Armenia,ARM,2006,5.85
Armenia,ARM,2007,5.5
Armenia,ARM,2008,6.64
Armenia,ARM,2009,8.44
Armenia,ARM,2010,9.24
Armenia,ARM,2011,9.38
Armenia,ARM,2012,9.13
Armenia,ARM,2013,10.32
Armenia,ARM,2014,10.18
Australia,AUS,2000,7.59
Australia,AUS,2001,7.68
Australia,AUS,2002,7.88
Australia,AUS,2003,7.88
Australia,AUS,2004,8.09
Australia,AUS,2005,7.97
Australia,AUS,2006,7.98
Australia,AUS,2007,8.05
Australia,AUS,2008,8.25
Australia,AUS,2009,8.54
Australia,AUS,2010,8.42
Australia,AUS,2011,8.54
Australia,AUS,2012,8.67
Australia,AUS,2013,8.75
Australia,AUS,2014,9.83
Austria,AUT,2000,9.2
Austria,AUT,2001,9.27
Austria,AUT,2002,9.39
Austria,AUT,2003,9.55
Austria,AUT,2004,9.71
Austria,AUT,2005,9.63
Austria,AUT,2006,9.53
Austria,AUT,2007,9.53
Austria,AUT,2008,9.73
Austria,AUT,2009,10.23
Austria,AUT,2010,10.22
Austria,AUT,2011,10.03
Austria,AUT,2012,10.2
Austria,AUT,2013,10.29
Austria,AUT,2014,10.37
Azerbaijan,AZE,2000,2.95
Azerbaijan,AZE,2001,2.77
Azerbaijan,AZE,2002,2.73
Azerbaijan,AZE,2003,2.73
Azerbaijan,AZE,2004,2.66
Azerbaijan,AZE,2005,2.23
Azerbaijan,AZE,2006,2.07
Azerbaijan,AZE,2007,1.99
Azerbaijan,AZE,2008,2.05
Azerbaijan,AZE,2009,2.77
Azerbaijan,AZE,2010,2.65
Azerbaijan,AZE,2011,2.6
Azerbaijan,AZE,2012,3.16
Azerbaijan,AZE,2013,3.23
Azerbaijan,AZE,2014,3.59
Bahamas,BHS,2000,3.8
Bahamas,BHS,2001,3.92
Bahamas,BHS,2002,3.81
Bahamas,BHS,2003,4.02
Bahamas,BHS,2004,4.05
Bahamas,BHS,2005,4.03
Bahamas,BHS,2006,4.31
Bahamas,BHS,2007,4.5
Bahamas,BHS,2008,4.86
Bahamas,BHS,2009,5.15
Bahamas,BHS,2010,5.26
Bahamas,BHS,2011,5.32
Bahamas,BHS,2012,5.32
Bahamas,BHS,2013,5.59
Bahamas,BHS,2014,5.54
Bahrain,BHR,2000,3.34
Bahrain,BHR,2001,3.49
Bahrain,BHR,2002,3.68
Bahrain,BHR,2003,3.89
Bahrain,BHR,2004,3.5
Bahrain,BHR,2005,3.26
Bahrain,BHR,2006,3.11
Bahrain,BHR,2007,3.3
Bahrain,BHR,2008,3.2
Bahrain,BHR,2009,4.33
Bahrain,BHR,2010,4.09
Bahrain,BHR,2011,3.87
Bahrain,BHR,2012,4.11
Bahrain,BHR,2013,4.31
Bahrain,BHR,2014,4.41
Bangladesh,BGD,2000,1.81
Bangladesh,BGD,2001,1.77
Bangladesh,BGD,2002,1.93
Bangladesh,BGD,2003,1.96
Bangladesh,BGD,2004,2
Bangladesh,BGD,2005,2.06
Bangladesh,BGD,2006,2.11
Bangladesh,BGD,2007,2.17
Bangladesh,BGD,2008,2.12
Bangladesh,BGD,2009,2.18
Bangladesh,BGD,2010,2.29
Bangladesh,BGD,2011,2.36
Bangladesh,BGD,2012,2.35
Bangladesh,BGD,2013,2.3
Bangladesh,BGD,2014,2.28
Barbados,BRB,2000,5.33
Barbados,BRB,2001,5.53
Barbados,BRB,2002,5.86
Barbados,BRB,2003,6.69
Barbados,BRB,2004,7.31
Barbados,BRB,2005,6.78
Barbados,BRB,2006,6.58
Barbados,BRB,2007,6.06
Barbados,BRB,2008,6.48
Barbados,BRB,2009,7.15
Barbados,BRB,2010,6.77
Barbados,BRB,2011,6.9
Barbados,BRB,2012,7.78
Barbados,BRB,2013,7.4
Barbados,BRB,2014,6.97
Belarus,BLR,2000,5.28
Belarus,BLR,2001,5.71
Belarus,BLR,2002,5.62
Belarus,BLR,2003,5.77
Belarus,BLR,2004,5.74
Belarus,BLR,2005,6.07
Belarus,BLR,2006,5.57
Belarus,BLR,2007,5.69
Belarus,BLR,2008,5.29
Belarus,BLR,2009,5.39
Belarus,BLR,2010,5.66
Belarus,BLR,2011,4.87
Belarus,BLR,2012,5.25
Belarus,BLR,2013,5.7
Belarus,BLR,2014,5.39
Belgium,BEL,2000,8
Belgium,BEL,2001,8.15
Belgium,BEL,2002,8.32
Belgium,BEL,2003,9.16
Belgium,BEL,2004,9.33
Belgium,BEL,2005,9.22
Belgium,BEL,2006,9.13
Belgium,BEL,2007,9.14
Belgium,BEL,2008,9.6
Belgium,BEL,2009,10.32
Belgium,BEL,2010,10.2
Belgium,BEL,2011,10.36
Belgium,BEL,2012,10.5
Belgium,BEL,2013,10.58
Belgium,BEL,2014,10.61
Belize,BLZ,2000,2.98
Belize,BLZ,2001,3.49
Belize,BLZ,2002,3.59
Belize,BLZ,2003,3.56
Belize,BLZ,2004,3.45
Belize,BLZ,2005,3.47
Belize,BLZ,2006,3.57
Belize,BLZ,2007,4.08
Belize,BLZ,2008,4.54
Belize,BLZ,2009,4.53
Belize,BLZ,2010,4.5
Belize,BLZ,2011,4.55
Belize,BLZ,2012,4.36
Belize,BLZ,2013,4.44
Belize,BLZ,2014,4.88
Benin,BEN,2000,2.96
Benin,BEN,2001,3.3
Benin,BEN,2002,3.1
Benin,BEN,2003,3.12
Benin,BEN,2004,3.23
Benin,BEN,2005,3.22
Benin,BEN,2006,3.29
Benin,BEN,2007,2.94
Benin,BEN,2008,2.65
Benin,BEN,2009,2.89
Benin,BEN,2010,3.01
Benin,BEN,2011,3
Benin,BEN,2012,3.08
Benin,BEN,2013,2.87
Benin,BEN,2014,2.69
Bhutan,BTN,2000,4.45
Bhutan,BTN,2001,5
Bhutan,BTN,2002,4.6
Bhutan,BTN,2003,4.13
Bhutan,BTN,2004,4.6
Bhutan,BTN,2005,4.13
Bhutan,BTN,2006,4.41
Bhutan,BTN,2007,4.13
Bhutan,BTN,2008,3.38
Bhutan,BTN,2009,3.55
Bhutan,BTN,2010,3.56
Bhutan,BTN,2011,3.35
Bhutan,BTN,2012,3.62
Bhutan,BTN,2013,3.71
Bhutan,BTN,2014,3.56
Bolivia,BOL,2000,4.4
Bolivia,BOL,2001,4.83
Bolivia,BOL,2002,4.9
Bolivia,BOL,2003,5.2
Bolivia,BOL,2004,4.86
Bolivia,BOL,2005,5.07
Bolivia,BOL,2006,4.66
Bolivia,BOL,2007,4.7
Bolivia,BOL,2008,4.61
Bolivia,BOL,2009,5.17
Bolivia,BOL,2010,5.2
Bolivia,BOL,2011,5.17
Bolivia,BOL,2012,5.25
Bolivia,BOL,2013,5.57
Bolivia,BOL,2014,5.9
Bosnia and Herzegovina,BIH,2000,8
Bosnia and Herzegovina,BIH,2001,7.61
Bosnia and Herzegovina,BIH,2002,7.43
Bosnia and Herzegovina,BIH,2003,8.31
Bosnia and Herzegovina,BIH,2004,9.06
Bosnia and Herzegovina,BIH,2005,9.05
Bosnia and Herzegovina,BIH,2006,9.17
Bosnia and Herzegovina,BIH,2007,9.53
Bosnia and Herzegovina,BIH,2008,9.69
Bosnia and Herzegovina,BIH,2009,9.02
Bosnia and Herzegovina,BIH,2010,9.02
Bosnia and Herzegovina,BIH,2011,9.18
Bosnia and Herzegovina,BIH,2012,9.49
Bosnia and Herzegovina,BIH,2013,9.45
Bosnia and Herzegovina,BIH,2014,9.49
Botswana,BWA,2000,6.11
Botswana,BWA,2001,6.37
Botswana,BWA,2002,6.67
Botswana,BWA,2003,6.41
Botswana,BWA,2004,6.09
Botswana,BWA,2005,5.27
Botswana,BWA,2006,4.88
Botswana,BWA,2007,5.52
Botswana,BWA,2008,5.9
Botswana,BWA,2009,6.62
Botswana,BWA,2010,6.27
Botswana,BWA,2011,5.87
Botswana,BWA,2012,6.35
Botswana,BWA,2013,6.5
Botswana,BWA,2014,5.88
Brazil,BRA,2000,8.33
Brazil,BRA,2001,8.55
Brazil,BRA,2002,8.7
Brazil,BRA,2003,8.19
Brazil,BRA,2004,8.12
Brazil,BRA,2005,8.04
Brazil,BRA,2006,8.25
Brazil,BRA,2007,8.2
Brazil,BRA,2008,8.01
Brazil,BRA,2009,8.39
Brazil,BRA,2010,7.95
Brazil,BRA,2011,7.79
Brazil,BRA,2012,7.74
Brazil,BRA,2013,7.98
Brazil,BRA,2014,8.4
Brunei,BRN,2000,2.55
Brunei,BRN,2001,2.55
Brunei,BRN,2002,2.53
Brunei,BRN,2003,2.6
Brunei,BRN,2004,2.55
Brunei,BRN,2005,2.23
Brunei,BRN,2006,1.91
Brunei,BRN,2007,1.94
Brunei,BRN,2008,1.88
Brunei,BRN,2009,2.39
Brunei,BRN,2010,2.28
Brunei,BRN,2011,1.86
Brunei,BRN,2012,1.85
Brunei,BRN,2013,1.9
Brunei,BRN,2014,1.91
Bulgaria,BGR,2000,5.83
Bulgaria,BGR,2001,6.86
Bulgaria,BGR,2002,7.08
Bulgaria,BGR,2003,7.2
Bulgaria,BGR,2004,6.89
Bulgaria,BGR,2005,6.89
Bulgaria,BGR,2006,6.53
Bulgaria,BGR,2007,6.16
Bulgaria,BGR,2008,6.28
Bulgaria,BGR,2009,6.6
Bulgaria,BGR,2010,7.1
Bulgaria,BGR,2011,7.1
Bulgaria,BGR,2012,7.54
Bulgaria,BGR,2013,7.14
Bulgaria,BGR,2014,7.68
Burkina Faso,BFA,2000,2.95
Burkina Faso,BFA,2001,2.89
Burkina Faso,BFA,2002,2.97
Burkina Faso,BFA,2003,3.14
Burkina Faso,BFA,2004,4.22
Burkina Faso,BFA,2005,3.95
Burkina Faso,BFA,2006,4.51
Burkina Faso,BFA,2007,5.23
Burkina Faso,BFA,2008,4.65
Burkina Faso,BFA,2009,5.08
Burkina Faso,BFA,2010,5.24
Burkina Faso,BFA,2011,4.65
Burkina Faso,BFA,2012,4.6
Burkina Faso,BFA,2013,5.56
Burkina Faso,BFA,2014,5
Burundi,BDI,2000,4.22
Burundi,BDI,2001,5.68
Burundi,BDI,2002,5.35
Burundi,BDI,2003,5.27
Burundi,BDI,2004,7.1
Burundi,BDI,2005,7.56
Burundi,BDI,2006,8.71
Burundi,BDI,2007,9.19
Burundi,BDI,2008,7.74
Burundi,BDI,2009,9.23
Burundi,BDI,2010,11.28
Burundi,BDI,2011,10.07
Burundi,BDI,2012,8.64
Burundi,BDI,2013,8.63
Burundi,BDI,2014,7.21
Cambodia,KHM,2000,6.54
Cambodia,KHM,2001,7.01
Cambodia,KHM,2002,7.23
Cambodia,KHM,2003,6.94
Cambodia,KHM,2004,7.08
Cambodia,KHM,2005,6.85
Cambodia,KHM,2006,6.12
Cambodia,KHM,2007,4.91
Cambodia,KHM,2008,6.6
Cambodia,KHM,2009,7.58
Cambodia,KHM,2010,6.91
Cambodia,KHM,2011,7.5
Cambodia,KHM,2012,7.26
Cambodia,KHM,2013,7.1
Cambodia,KHM,2014,6.7
Cameroon,CMR,2000,4.11
Cameroon,CMR,2001,3.88
Cameroon,CMR,2002,4.03
Cameroon,CMR,2003,3.9
Cameroon,CMR,2004,3.73
Cameroon,CMR,2005,3.77
Cameroon,CMR,2006,3.74
Cameroon,CMR,2007,3.71
Cameroon,CMR,2008,3.66
Cameroon,CMR,2009,3.5
Cameroon,CMR,2010,3.58
Cameroon,CMR,2011,3.85
Cameroon,CMR,2012,3.93
Cameroon,CMR,2013,3.63
Cameroon,CMR,2014,3.79
Canada,CAN,2000,8.25
Canada,CAN,2001,8.62
Canada,CAN,2002,8.86
Canada,CAN,2003,9.01
Canada,CAN,2004,9.07
Canada,CAN,2005,9.04
Canada,CAN,2006,9.34
Canada,CAN,2007,9.45
Canada,CAN,2008,9.61
Canada,CAN,2009,10.66
Canada,CAN,2010,10.68
Canada,CAN,2011,10.38
Canada,CAN,2012,10.51
Canada,CAN,2013,10.41
Canada,CAN,2014,10.26
Cape Verde,CPV,2000,4.43
Cape Verde,CPV,2001,4.75
Cape Verde,CPV,2002,4.76
Cape Verde,CPV,2003,4.5
Cape Verde,CPV,2004,4.38
Cape Verde,CPV,2005,4.27
Cape Verde,CPV,2006,4.49
Cape Verde,CPV,2007,4.19
Cape Verde,CPV,2008,3.58
Cape Verde,CPV,2009,3.88
Cape Verde,CPV,2010,4.48
Cape Verde,CPV,2011,4.31
Cape Verde,CPV,2012,5.13
Cape Verde,CPV,2013,5.29
Cape Verde,CPV,2014,5.33
Central African Republic,CAF,2000,4.27
Central African Republic,CAF,2001,3.96
Central African Republic,CAF,2002,4.23
Central African Republic,CAF,2003,4.4
Central African Republic,CAF,2004,4.3
Central African Republic,CAF,2005,4.37
Central African Republic,CAF,2006,4.44
Central African Republic,CAF,2007,4.72
Central African Republic,CAF,2008,4.09
Central African Republic,CAF,2009,4.82
Central African Republic,CAF,2010,3.57
Central African Republic,CAF,2011,3.68
Central African Republic,CAF,2012,3.92
Central African Republic,CAF,2013,4.77
Central African Republic,CAF,2014,4.57
Chad,TCD,2000,5.46
Chad,TCD,2001,5.29
Chad,TCD,2002,7.27
Chad,TCD,2003,5.51
Chad,TCD,2004,5.5
Chad,TCD,2005,4.84
Chad,TCD,2006,4.87
Chad,TCD,2007,4.34
Chad,TCD,2008,4.06
Chad,TCD,2009,4.44
Chad,TCD,2010,4.06
Chad,TCD,2011,3.91
Chad,TCD,2012,3.86
Chad,TCD,2013,4.07
Chad,TCD,2014,4.27
Chile,CHL,2000,7
Chile,CHL,2001,7.1
Chile,CHL,2002,7.21
Chile,CHL,2003,7.25
Chile,CHL,2004,6.91
Chile,CHL,2005,6.62
Chile,CHL,2006,6.07
Chile,CHL,2007,6.21
Chile,CHL,2008,6.74
Chile,CHL,2009,7.25
Chile,CHL,2010,6.82
Chile,CHL,2011,6.8
Chile,CHL,2012,7.02
Chile,CHL,2013,7.48
Chile,CHL,2014,7.84
China,CHN,2000,4.51
China,CHN,2001,4.25
China,CHN,2002,4.38
China,CHN,2003,4.42
China,CHN,2004,4.29
China,CHN,2005,4.18
China,CHN,2006,3.95
China,CHN,2007,3.67
China,CHN,2008,3.9
China,CHN,2009,4.35
China,CHN,2010,4.23
China,CHN,2011,4.34
China,CHN,2012,4.57
China,CHN,2013,4.71
China,CHN,2014,4.78
Colombia,COL,2000,5.64
Colombia,COL,2001,5.94
Colombia,COL,2002,5.73
Colombia,COL,2003,5.78
Colombia,COL,2004,5.8
Colombia,COL,2005,6.07
Colombia,COL,2006,6.34
Colombia,COL,2007,6.49
Colombia,COL,2008,6.84
Colombia,COL,2009,7.31
Colombia,COL,2010,7.07
Colombia,COL,2011,6.78
Colombia,COL,2012,6.75
Colombia,COL,2013,7.02
Colombia,COL,2014,7.19
Comoros,COM,2000,7.52
Comoros,COM,2001,6.65
Comoros,COM,2002,6.68
Comoros,COM,2003,6.65
Comoros,COM,2004,6.58
Comoros,COM,2005,6.13
Comoros,COM,2006,5.77
Comoros,COM,2007,5.42
Comoros,COM,2008,5.07
Comoros,COM,2009,4.93
Comoros,COM,2010,4.99
Comoros,COM,2011,5.3
Comoros,COM,2012,5.17
Comoros,COM,2013,5.1
Comoros,COM,2014,5.24
Congo,COG,2000,1.51
Congo,COG,2001,2.19
Congo,COG,2002,1.7
Congo,COG,2003,1.92
Congo,COG,2004,1.92
Congo,COG,2005,1.72
Congo,COG,2006,1.71
Congo,COG,2007,1.9
Congo,COG,2008,2.24
Congo,COG,2009,2.14
Congo,COG,2010,1.85
Congo,COG,2011,1.75
Congo,COG,2012,1.91
Congo,COG,2013,1.94
Congo,COG,2014,1.97
Cook Islands,COK,2000,3.04
Cook Islands,COK,2001,3.26
Cook Islands,COK,2002,3.44
Cook Islands,COK,2003,3.2
Cook Islands,COK,2004,3.41
Cook Islands,COK,2005,3.91
Cook Islands,COK,2006,3.47
Cook Islands,COK,2007,3.72
Cook Islands,COK,2008,3.43
Cook Islands,COK,2009,3.47
Cook Islands,COK,2010,3.63
Cook Islands,COK,2011,3.52
Cook Islands,COK,2012,3.11
Cook Islands,COK,2013,3.29
Cook Islands,COK,2014,3.29
Costa Rica,CRI,2000,6.56
Costa Rica,CRI,2001,6.47
Costa Rica,CRI,2002,6.87
Costa Rica,CRI,2003,6.97
Costa Rica,CRI,2004,6.63
Costa Rica,CRI,2005,6.66
Costa Rica,CRI,2006,6.94
Costa Rica,CRI,2007,7
Costa Rica,CRI,2008,7.47
Costa Rica,CRI,2009,7.86
Costa Rica,CRI,2010,8.03
Costa Rica,CRI,2011,8.12
Costa Rica,CRI,2012,7.79
Costa Rica,CRI,2013,7.68
Costa Rica,CRI,2014,7.66
Cote d'Ivoire,CIV,2000,6.13
Cote d'Ivoire,CIV,2001,6.02
Cote d'Ivoire,CIV,2002,5.9
Cote d'Ivoire,CIV,2003,5.48
Cote d'Ivoire,CIV,2004,5.48
Cote d'Ivoire,CIV,2005,5.01
Cote d'Ivoire,CIV,2006,4.76
Cote d'Ivoire,CIV,2007,4.55
Cote d'Ivoire,CIV,2008,4.57
Cote d'Ivoire,CIV,2009,4.47
Cote d'Ivoire,CIV,2010,4.42
Cote d'Ivoire,CIV,2011,4.4
Cote d'Ivoire,CIV,2012,4.43
Cote d'Ivoire,CIV,2013,3.72
Cote d'Ivoire,CIV,2014,3.73
Croatia,HRV,2000,7.65
Croatia,HRV,2001,7.17
Croatia,HRV,2002,6.14
Croatia,HRV,2003,6.3
Croatia,HRV,2004,6.5
Croatia,HRV,2005,6.84
Croatia,HRV,2006,6.91
Croatia,HRV,2007,7.41
Croatia,HRV,2008,7.65
Croatia,HRV,2009,8.08
Croatia,HRV,2010,7.99
Croatia,HRV,2011,7.66
Croatia,HRV,2012,7.68
Croatia,HRV,2013,6.43
Croatia,HRV,2014,6.61
Cuba,CUB,2000,6.58
Cuba,CUB,2001,6.98
Cuba,CUB,2002,7.11
Cuba,CUB,2003,7.1
Cuba,CUB,2004,6.83
Cuba,CUB,2005,8.76
Cuba,CUB,2006,8.27
Cuba,CUB,2007,10.97
Cuba,CUB,2008,11.31
Cuba,CUB,2009,12.29
Cuba,CUB,2010,10.69
Cuba,CUB,2011,11.31
Cuba,CUB,2012,9.3
Cuba,CUB,2013,10.43
Cuba,CUB,2014,12.14
Cyprus,CYP,2000,5.31
Cyprus,CYP,2001,5.34
Cyprus,CYP,2002,5.62
Cyprus,CYP,2003,5.64
Cyprus,CYP,2004,5.41
Cyprus,CYP,2005,5.44
Cyprus,CYP,2006,5.46
Cyprus,CYP,2007,5.36
Cyprus,CYP,2008,6.01
Cyprus,CYP,2009,6.47
Cyprus,CYP,2010,6.5
Cyprus,CYP,2011,6.43
Cyprus,CYP,2012,6.54
Cyprus,CYP,2013,6.93
Cyprus,CYP,2014,6.93
Czechia,CZE,2000,5.7
Czechia,CZE,2001,5.86
Czechia,CZE,2002,6.18
Czechia,CZE,2003,6.52
Czechia,CZE,2004,6.35
Czechia,CZE,2005,6.34
Czechia,CZE,2006,6.16
Czechia,CZE,2007,5.99
Czechia,CZE,2008,6.33
Czechia,CZE,2009,7.25
Czechia,CZE,2010,7.59
Czechia,CZE,2011,7.56
Czechia,CZE,2012,7.62
Czechia,CZE,2013,7.52
Czechia,CZE,2014,7.61
Democratic Republic of Congo,COD,2000,1.47
Democratic Republic of Congo,COD,2001,2.62
Democratic Republic of Congo,COD,2002,2.57
Democratic Republic of Congo,COD,2003,3.73
Democratic Republic of Congo,COD,2004,4.34
Democratic Republic of Congo,COD,2005,3.99
Democratic Republic of Congo,COD,2006,4.06
Democratic Republic of Congo,COD,2007,3.89
Democratic Republic of Congo,COD,2008,4.31
Democratic Republic of Congo,COD,2009,4.51
Democratic Republic of Congo,COD,2010,3.72
Democratic Republic of Congo,COD,2011,3.19
Democratic Republic of Congo,COD,2012,3.22
Democratic Republic of Congo,COD,2013,3.34
Democratic Republic of Congo,COD,2014,3.73
Denmark,DNK,2000,8.1
Denmark,DNK,2001,8.45
Denmark,DNK,2002,8.7
Denmark,DNK,2003,8.9
Denmark,DNK,2004,9.01
Denmark,DNK,2005,9.09
Denmark,DNK,2006,9.17
Denmark,DNK,2007,9.33
Denmark,DNK,2008,9.51
Denmark,DNK,2009,10.67
Denmark,DNK,2010,10.61
Denmark,DNK,2011,10.41
Denmark,DNK,2012,10.52
Denmark,DNK,2013,10.33
Denmark,DNK,2014,10.31
Djibouti,DJI,2000,3.4
Djibouti,DJI,2001,3.2
Djibouti,DJI,2002,3.76
Djibouti,DJI,2003,4.27
Djibouti,DJI,2004,3.54
Djibouti,DJI,2005,3.81
Djibouti,DJI,2006,4.22
Djibouti,DJI,2007,4.06
Djibouti,DJI,2008,3.62
Djibouti,DJI,2009,3.64
Djibouti,DJI,2010,3.36
Djibouti,DJI,2011,3.38
Djibouti,DJI,2012,3.3
Djibouti,DJI,2013,2.92
Djibouti,DJI,2014,2.97
Dominica,DMA,2000,5.32
Dominica,DMA,2001,4.65
Dominica,DMA,2002,4.65
Dominica,DMA,2003,4.85
Dominica,DMA,2004,4.75
Dominica,DMA,2005,4.98
Dominica,DMA,2006,4.78
Dominica,DMA,2007,4.79
Dominica,DMA,2008,5.05
Dominica,DMA,2009,4.98
Dominica,DMA,2010,5.16
Dominica,DMA,2011,5.33
Dominica,DMA,2012,5.8
Dominica,DMA,2013,5.35
Dominica,DMA,2014,5.26
Dominican Republic,DOM,2000,4.88
Dominican Republic,DOM,2001,4.88
Dominican Republic,DOM,2002,4.99
Dominican Republic,DOM,2003,4.39
Dominican Republic,DOM,2004,4.29
Dominican Republic,DOM,2005,4.35
Dominican Republic,DOM,2006,3.99
Dominican Republic,DOM,2007,4.09
Dominican Republic,DOM,2008,4.56
Dominican Republic,DOM,2009,4.76
Dominican Republic,DOM,2010,4.92
Dominican Republic,DOM,2011,5.04
Dominican Republic,DOM,2012,5.05
Dominican Republic,DOM,2013,4.92
Dominican Republic,DOM,2014,4.8
East Timor,TLS,2003,2.84
East Timor,TLS,2004,4.26
East Timor,TLS,2005,5.28
East Timor,TLS,2006,6
East Timor,TLS,2007,5.65
East Timor,TLS,2008,6.97
East Timor,TLS,2009,7.31
East Timor,TLS,2010,6.47
East Timor,TLS,2011,6.87
East Timor,TLS,2012,6.99
East Timor,TLS,2013,8.53
East Timor,TLS,2014,7.6
Eastern Mediterranean (WHO),,2000,4.3
Eastern Mediterranean (WHO),,2001,4.48
Eastern Mediterranean (WHO),,2002,4.77
Eastern Mediterranean (WHO),,2003,4.69
Eastern Mediterranean (WHO),,2004,4.54
Eastern Mediterranean (WHO),,2005,4.34
Eastern Mediterranean (WHO),,2006,4.4
Eastern Mediterranean (WHO),,2007,4.45
Eastern Mediterranean (WHO),,2008,4.34
Eastern Mediterranean (WHO),,2009,4.84
Eastern Mediterranean (WHO),,2010,4.5
Eastern Mediterranean (WHO),,2011,4.47
Eastern Mediterranean (WHO),,2012,4.47
Eastern Mediterranean (WHO),,2013,4.69
Eastern Mediterranean (WHO),,2014,4.86
Ecuador,ECU,2000,3.33
Ecuador,ECU,2001,3.76
Ecuador,ECU,2002,4.48
Ecuador,ECU,2003,5.44
Ecuador,ECU,2004,5.57
Ecuador,ECU,2005,5.6
