Entity,Code,Year,HepB3 (% of one-year-olds immunized)
New Zealand,NZL,1998,87
New Zealand,NZL,1999,89
New Zealand,NZL,2000,90
New Zealand,NZL,2001,90
New Zealand,NZL,2002,89
New Zealand,NZL,2003,89
New Zealand,NZL,2004,88
New Zealand,NZL,2005,87
New Zealand,NZL,2006,87
New Zealand,NZL,2007,88
New Zealand,NZL,2008,90
New Zealand,NZL,2009,93
New Zealand,NZL,2010,90
New Zealand,NZL,2011,95
New Zealand,NZL,2012,93
New Zealand,NZL,2013,93
New Zealand,NZL,2014,93
Nicaragua,NIC,1999,80
Nicaragua,NIC,2000,83
Nicaragua,NIC,2001,87
Nicaragua,NIC,2002,85
Nicaragua,NIC,2003,86
Nicaragua,NIC,2004,79
Nicaragua,NIC,2005,86
Nicaragua,NIC,2006,88
Nicaragua,NIC,2007,93
Nicaragua,NIC,2008,97
Nicaragua,NIC,2009,98
Nicaragua,NIC,2010,98
Nicaragua,NIC,2011,98
Nicaragua,NIC,2012,98
Nicaragua,NIC,2013,98
Nicaragua,NIC,2014,98
Niger,NER,2009,71
Niger,NER,2010,70
Niger,NER,2011,75
Niger,NER,2012,71
Niger,NER,2013,73
Niger,NER,2014,81
Nigeria,NGA,2005,18
Nigeria,NGA,2006,27
Nigeria,NGA,2007,42
Nigeria,NGA,2008,41
Nigeria,NGA,2009,63
Nigeria,NGA,2010,49
Nigeria,NGA,2011,46
Nigeria,NGA,2012,42
Nigeria,NGA,2013,43
Nigeria,NGA,2014,43
Niue,NIU,1991,99
Niue,NIU,1992,99
Niue,NIU,1993,99
Niue,NIU,1994,99
Niue,NIU,1995,90
Niue,NIU,1996,99
Niue,NIU,1997,99
Niue,NIU,1998,99
Niue,NIU,1999,99
Niue,NIU,2000,99
Niue,NIU,2001,99
Niue,NIU,2002,99
Niue,NIU,2003,95
Niue,NIU,2004,99
Niue,NIU,2005,86
Niue,NIU,2006,99
Niue,NIU,2007,99
Niue,NIU,2008,99
Niue,NIU,2009,99
Niue,NIU,2010,99
Niue,NIU,2011,99
Niue,NIU,2012,99
Niue,NIU,2013,99
Niue,NIU,2014,99
North Korea,PRK,2003,27
North Korea,PRK,2004,98
North Korea,PRK,2005,92
North Korea,PRK,2006,96
North Korea,PRK,2007,92
North Korea,PRK,2008,92
North Korea,PRK,2009,93
North Korea,PRK,2010,93
North Korea,PRK,2011,94
North Korea,PRK,2012,96
North Korea,PRK,2013,93
North Korea,PRK,2014,93
North Macedonia,MKD,2005,53
North Macedonia,MKD,2006,89
North Macedonia,MKD,2007,96
North Macedonia,MKD,2008,97
North Macedonia,MKD,2009,95
North Macedonia,MKD,2010,90
North Macedonia,MKD,2011,96
North Macedonia,MKD,2012,98
North Macedonia,MKD,2013,97
North Macedonia,MKD,2014,97
Oman,OMN,1991,94
Oman,OMN,1992,99
Oman,OMN,1993,96
Oman,OMN,1994,99
Oman,OMN,1995,99
Oman,OMN,1996,99
Oman,OMN,1997,99
Oman,OMN,1998,99
Oman,OMN,1999,99
Oman,OMN,2000,99
Oman,OMN,2001,99
Oman,OMN,2002,99
Oman,OMN,2003,99
Oman,OMN,2004,99
Oman,OMN,2005,99
Oman,OMN,2006,99
Oman,OMN,2007,99
Oman,OMN,2008,99
Oman,OMN,2009,98
Oman,OMN,2010,99
Oman,OMN,2011,99
Oman,OMN,2012,98
Oman,OMN,2013,98
Oman,OMN,2014,99
Pakistan,PAK,2003,62
Pakistan,PAK,2004,62
Pakistan,PAK,2005,65
Pakistan,PAK,2006,60
Pakistan,PAK,2007,54
Pakistan,PAK,2008,53
Pakistan,PAK,2009,52
Pakistan,PAK,2010,52
Pakistan,PAK,2011,63
Pakistan,PAK,2012,64
Pakistan,PAK,2013,65
Pakistan,PAK,2014,69
Palau,PLW,1991,89
Palau,PLW,1992,75
Palau,PLW,1993,94
Palau,PLW,1994,73
Palau,PLW,1995,99
Palau,PLW,1996,99
Palau,PLW,1997,90
Palau,PLW,1998,96
Palau,PLW,1999,96
Palau,PLW,2000,96
Palau,PLW,2001,98
Palau,PLW,2002,99
Palau,PLW,2003,99
Palau,PLW,2004,98
Palau,PLW,2005,98
Palau,PLW,2006,98
Palau,PLW,2007,91
Palau,PLW,2008,92
Palau,PLW,2009,69
Palau,PLW,2010,80
Palau,PLW,2011,91
Palau,PLW,2012,89
Palau,PLW,2013,99
Palau,PLW,2014,99
Palestine,PSE,1995,93
Palestine,PSE,1996,91
Palestine,PSE,1997,99
Palestine,PSE,1998,91
Palestine,PSE,1999,90
Palestine,PSE,2000,95
Palestine,PSE,2001,92
Palestine,PSE,2002,91
Palestine,PSE,2003,97
Palestine,PSE,2004,96
Palestine,PSE,2005,99
Palestine,PSE,2006,97
Palestine,PSE,2007,98
Palestine,PSE,2008,96
Palestine,PSE,2009,97
Palestine,PSE,2010,98
Palestine,PSE,2011,99
Palestine,PSE,2012,99
Palestine,PSE,2013,99
Palestine,PSE,2014,99
Panama,PAN,2001,98
Panama,PAN,2002,98
Panama,PAN,2003,98
Panama,PAN,2004,95
Panama,PAN,2005,92
Panama,PAN,2006,88
Panama,PAN,2007,85
Panama,PAN,2008,86
Panama,PAN,2009,85
Panama,PAN,2010,94
Panama,PAN,2011,87
Panama,PAN,2012,85
Panama,PAN,2013,80
Panama,PAN,2014,80
Papua New Guinea,PNG,1990,20
Papua New Guinea,PNG,1991,19
Papua New Guinea,PNG,1992,12
Papua New Guinea,PNG,1993,7
Papua New Guinea,PNG,1994,20
Papua New Guinea,PNG,1995,23
Papua New Guinea,PNG,1996,43
Papua New Guinea,PNG,1997,44
Papua New Guinea,PNG,1998,47
Papua New Guinea,PNG,1999,54
Papua New Guinea,PNG,2000,57
Papua New Guinea,PNG,2001,59
Papua New Guinea,PNG,2002,60
Papua New Guinea,PNG,2003,67
Papua New Guinea,PNG,2004,60
Papua New Guinea,PNG,2005,63
Papua New Guinea,PNG,2006,71
Papua New Guinea,PNG,2007,61
Papua New Guinea,PNG,2008,59
Papua New Guinea,PNG,2009,66
Papua New Guinea,PNG,2010,67
Papua New Guinea,PNG,2011,72
Papua New Guinea,PNG,2012,69
Papua New Guinea,PNG,2013,69
Papua New Guinea,PNG,2014,57
Paraguay,PRY,2003,86
Paraguay,PRY,2004,90
Paraguay,PRY,2005,92
Paraguay,PRY,2006,92
Paraguay,PRY,2007,86
Paraguay,PRY,2008,87
Paraguay,PRY,2009,85
Paraguay,PRY,2010,91
Paraguay,PRY,2011,91
Paraguay,PRY,2012,91
Paraguay,PRY,2013,90
Paraguay,PRY,2014,93
Peru,PER,2003,65
Peru,PER,2004,92
Peru,PER,2005,94
Peru,PER,2006,94
Peru,PER,2007,93
Peru,PER,2008,93
Peru,PER,2009,93
Peru,PER,2010,93
Peru,PER,2011,91
Peru,PER,2012,95
Peru,PER,2013,88
Peru,PER,2014,88
Philippines,PHL,1995,38
Philippines,PHL,1996,35
Philippines,PHL,1997,31
Philippines,PHL,1998,30
Philippines,PHL,1999,32
Philippines,PHL,2000,7
Philippines,PHL,2001,45
Philippines,PHL,2002,42
Philippines,PHL,2003,52
Philippines,PHL,2004,48
Philippines,PHL,2005,49
Philippines,PHL,2006,77
Philippines,PHL,2007,87
Philippines,PHL,2008,87
Philippines,PHL,2009,88
Philippines,PHL,2010,88
Philippines,PHL,2011,89
Philippines,PHL,2012,89
Philippines,PHL,2013,84
Philippines,PHL,2014,80
Poland,POL,1991,1
Poland,POL,1992,1
Poland,POL,1993,1
Poland,POL,1994,4
Poland,POL,1995,23
Poland,POL,1996,56
Poland,POL,1997,97
Poland,POL,1998,99
Poland,POL,1999,99
Poland,POL,2000,99
Poland,POL,2001,95
Poland,POL,2002,98
Poland,POL,2003,97
Poland,POL,2004,98
Poland,POL,2005,98
Poland,POL,2006,98
Poland,POL,2007,98
Poland,POL,2008,98
Poland,POL,2009,98
Poland,POL,2010,98
Poland,POL,2011,98
Poland,POL,2012,97
Poland,POL,2013,96
Poland,POL,2014,96
Portugal,PRT,1995,6
Portugal,PRT,1996,34
Portugal,PRT,1997,49
Portugal,PRT,1998,64
Portugal,PRT,1999,61
Portugal,PRT,2000,58
Portugal,PRT,2001,70
Portugal,PRT,2002,82
Portugal,PRT,2003,94
Portugal,PRT,2004,94
Portugal,PRT,2005,94
Portugal,PRT,2006,97
Portugal,PRT,2007,97
Portugal,PRT,2008,97
Portugal,PRT,2009,96
Portugal,PRT,2010,97
Portugal,PRT,2011,97
Portugal,PRT,2012,98
Portugal,PRT,2013,98
Portugal,PRT,2014,98
Qatar,QAT,1991,86
Qatar,QAT,1992,89
Qatar,QAT,1993,93
Qatar,QAT,1994,90
Qatar,QAT,1995,90
Qatar,QAT,1996,90
Qatar,QAT,1997,90
Qatar,QAT,1998,92
Qatar,QAT,1999,92
Qatar,QAT,2000,89
Qatar,QAT,2001,93
Qatar,QAT,2002,98
Qatar,QAT,2003,93
Qatar,QAT,2004,97
Qatar,QAT,2005,97
Qatar,QAT,2006,96
Qatar,QAT,2007,94
Qatar,QAT,2008,97
Qatar,QAT,2009,99
Qatar,QAT,2010,97
Qatar,QAT,2011,93
Qatar,QAT,2012,93
Qatar,QAT,2013,97
Qatar,QAT,2014,89
Region of the Americas (WHO),,1985,0
Region of the Americas (WHO),,1986,0
Region of the Americas (WHO),,1987,0
Region of the Americas (WHO),,1988,0
Region of the Americas (WHO),,1989,0
Region of the Americas (WHO),,1990,0
Region of the Americas (WHO),,1991,0
Region of the Americas (WHO),,1992,0
Region of the Americas (WHO),,1993,5
Region of the Americas (WHO),,1994,12
Region of the Americas (WHO),,1995,24
Region of the Americas (WHO),,1996,30
Region of the Americas (WHO),,1997,28
Region of the Americas (WHO),,1998,31
Region of the Americas (WHO),,1999,48
Region of the Americas (WHO),,2000,70
Region of the Americas (WHO),,2001,72
Region of the Americas (WHO),,2002,75
Region of the Americas (WHO),,2003,83
Region of the Americas (WHO),,2004,85
Region of the Americas (WHO),,2005,89
Region of the Americas (WHO),,2006,90
Region of the Americas (WHO),,2007,89
Region of the Americas (WHO),,2008,89
Region of the Americas (WHO),,2009,91
Region of the Americas (WHO),,2010,90
Region of the Americas (WHO),,2011,90
Region of the Americas (WHO),,2012,91
Region of the Americas (WHO),,2013,89
Region of the Americas (WHO),,2014,89
Romania,ROU,1996,99
Romania,ROU,1997,99
Romania,ROU,1998,99
Romania,ROU,1999,99
Romania,ROU,2000,98
Romania,ROU,2001,98
Romania,ROU,2002,99
Romania,ROU,2003,98
Romania,ROU,2004,99
Romania,ROU,2005,98
Romania,ROU,2006,99
Romania,ROU,2007,99
Romania,ROU,2008,97
Romania,ROU,2009,95
Romania,ROU,2010,98
Romania,ROU,2011,96
Romania,ROU,2012,96
Romania,ROU,2013,96
Romania,ROU,2014,94
Russia,RUS,2001,43
Russia,RUS,2002,81
Russia,RUS,2003,94
Russia,RUS,2004,96
Russia,RUS,2005,97
Russia,RUS,2006,98
Russia,RUS,2007,98
Russia,RUS,2008,98
Russia,RUS,2009,98
Russia,RUS,2010,97
Russia,RUS,2011,97
Russia,RUS,2012,97
Russia,RUS,2013,97
Russia,RUS,2014,97
Rwanda,RWA,2002,88
Rwanda,RWA,2003,96
Rwanda,RWA,2004,89
Rwanda,RWA,2005,95
Rwanda,RWA,2006,99
Rwanda,RWA,2007,97
Rwanda,RWA,2008,97
Rwanda,RWA,2009,97
Rwanda,RWA,2010,97
Rwanda,RWA,2011,97
Rwanda,RWA,2012,98
Rwanda,RWA,2013,98
Rwanda,RWA,2014,98
Saint Kitts and Nevis,KNA,1998,99
Saint Kitts and Nevis,KNA,1999,99
Saint Kitts and Nevis,KNA,2000,99
Saint Kitts and Nevis,KNA,2001,99
Saint Kitts and Nevis,KNA,2002,96
Saint Kitts and Nevis,KNA,2003,99
Saint Kitts and Nevis,KNA,2004,96
Saint Kitts and Nevis,KNA,2005,99
Saint Kitts and Nevis,KNA,2006,99
Saint Kitts and Nevis,KNA,2007,99
Saint Kitts and Nevis,KNA,2008,98
Saint Kitts and Nevis,KNA,2009,97
Saint Kitts and Nevis,KNA,2010,96
Saint Kitts and Nevis,KNA,2011,98
Saint Kitts and Nevis,KNA,2012,98
Saint Kitts and Nevis,KNA,2013,97
Saint Kitts and Nevis,KNA,2014,98
Saint Lucia,LCA,2002,14
Saint Lucia,LCA,2003,84
Saint Lucia,LCA,2004,91
Saint Lucia,LCA,2005,95
Saint Lucia,LCA,2006,85
Saint Lucia,LCA,2007,99
Saint Lucia,LCA,2008,96
Saint Lucia,LCA,2009,95
Saint Lucia,LCA,2010,97
Saint Lucia,LCA,2011,99
Saint Lucia,LCA,2012,98
Saint Lucia,LCA,2013,99
Saint Lucia,LCA,2014,99
Saint Vincent and the Grenadines,VCT,2003,31
Saint Vincent and the Grenadines,VCT,2004,99
Saint Vincent and the Grenadines,VCT,2005,99
Saint Vincent and the Grenadines,VCT,2006,99
Saint Vincent and the Grenadines,VCT,2007,99
Saint Vincent and the Grenadines,VCT,2008,99
Saint Vincent and the Grenadines,VCT,2009,99
Saint Vincent and the Grenadines,VCT,2010,99
Saint Vincent and the Grenadines,VCT,2011,96
Saint Vincent and the Grenadines,VCT,2012,96
Saint Vincent and the Grenadines,VCT,2013,97
Saint Vincent and the Grenadines,VCT,2014,98
Samoa,WSM,1992,18
Samoa,WSM,1993,1
Samoa,WSM,1994,94
Samoa,WSM,1995,96
Samoa,WSM,1996,98
Samoa,WSM,1997,99
Samoa,WSM,1998,98
Samoa,WSM,1999,97
Samoa,WSM,2000,93
Samoa,WSM,2001,93
Samoa,WSM,2002,92
Samoa,WSM,2003,90
Samoa,WSM,2004,62
Samoa,WSM,2005,51
Samoa,WSM,2006,46
Samoa,WSM,2007,58
Samoa,WSM,2008,26
Samoa,WSM,2009,58
Samoa,WSM,2010,72
Samoa,WSM,2011,75
Samoa,WSM,2012,82
Samoa,WSM,2013,85
Samoa,WSM,2014,81
San Marino,SMR,1991,99
San Marino,SMR,1992,99
San Marino,SMR,1993,98
San Marino,SMR,1994,98
San Marino,SMR,1995,98
San Marino,SMR,1996,98
San Marino,SMR,1997,97
San Marino,SMR,1998,97
San Marino,SMR,1999,97
San Marino,SMR,2000,97
San Marino,SMR,2001,96
San Marino,SMR,2002,96
San Marino,SMR,2003,96
San Marino,SMR,2004,95
San Marino,SMR,2005,95
San Marino,SMR,2006,92
San Marino,SMR,2007,91
San Marino,SMR,2008,91
San Marino,SMR,2009,89
San Marino,SMR,2010,89
San Marino,SMR,2011,92
San Marino,SMR,2012,88
San Marino,SMR,2013,83
San Marino,SMR,2014,83
Sao Tome and Principe,STP,2003,43
Sao Tome and Principe,STP,2004,70
Sao Tome and Principe,STP,2005,96
Sao Tome and Principe,STP,2006,75
Sao Tome and Principe,STP,2007,87
Sao Tome and Principe,STP,2008,99
Sao Tome and Principe,STP,2009,98
Sao Tome and Principe,STP,2010,98
Sao Tome and Principe,STP,2011,96
Sao Tome and Principe,STP,2012,96
Sao Tome and Principe,STP,2013,97
Sao Tome and Principe,STP,2014,95
Saudi Arabia,SAU,1990,66
Saudi Arabia,SAU,1991,86
Saudi Arabia,SAU,1992,89
Saudi Arabia,SAU,1993,93
Saudi Arabia,SAU,1994,94
Saudi Arabia,SAU,1995,93
Saudi Arabia,SAU,1996,92
Saudi Arabia,SAU,1997,91
Saudi Arabia,SAU,1998,95
Saudi Arabia,SAU,1999,92
Saudi Arabia,SAU,2000,93
Saudi Arabia,SAU,2001,95
Saudi Arabia,SAU,2002,97
Saudi Arabia,SAU,2003,95
Saudi Arabia,SAU,2004,96
Saudi Arabia,SAU,2005,97
Saudi Arabia,SAU,2006,96
Saudi Arabia,SAU,2007,96
Saudi Arabia,SAU,2008,98
Saudi Arabia,SAU,2009,98
Saudi Arabia,SAU,2010,98
Saudi Arabia,SAU,2011,98
Saudi Arabia,SAU,2012,98
Saudi Arabia,SAU,2013,98
Saudi Arabia,SAU,2014,98
Senegal,SEN,2004,54
Senegal,SEN,2005,84
Senegal,SEN,2006,89
Senegal,SEN,2007,94
Senegal,SEN,2008,88
Senegal,SEN,2009,86
Senegal,SEN,2010,89
Senegal,SEN,2011,92
Senegal,SEN,2012,91
Senegal,SEN,2013,92
Senegal,SEN,2014,89
Serbia,SRB,2004,89
Serbia,SRB,2005,65
Serbia,SRB,2006,93
Serbia,SRB,2007,99
Serbia,SRB,2008,93
Serbia,SRB,2009,93
Serbia,SRB,2010,89
Serbia,SRB,2011,94
Serbia,SRB,2012,97
Serbia,SRB,2013,91
Serbia,SRB,2014,92
Seychelles,SYC,1995,99
Seychelles,SYC,1996,98
Seychelles,SYC,1997,97
Seychelles,SYC,1998,96
Seychelles,SYC,1999,99
Seychelles,SYC,2000,97
Seychelles,SYC,2001,95
Seychelles,SYC,2002,98
Seychelles,SYC,2003,99
Seychelles,SYC,2004,99
Seychelles,SYC,2005,99
Seychelles,SYC,2006,99
Seychelles,SYC,2007,99
Seychelles,SYC,2008,99
Seychelles,SYC,2009,98
Seychelles,SYC,2010,99
Seychelles,SYC,2011,99
Seychelles,SYC,2012,98
Seychelles,SYC,2013,98
Seychelles,SYC,2014,99
Sierra Leone,SLE,2007,63
Sierra Leone,SLE,2008,77
Sierra Leone,SLE,2009,84
Sierra Leone,SLE,2010,86
Sierra Leone,SLE,2011,89
Sierra Leone,SLE,2012,91
Sierra Leone,SLE,2013,92
Sierra Leone,SLE,2014,83
Singapore,SGP,1990,74
Singapore,SGP,1991,76
Singapore,SGP,1992,78
Singapore,SGP,1993,90
Singapore,SGP,1994,94
Singapore,SGP,1995,96
Singapore,SGP,1996,96
Singapore,SGP,1997,97
Singapore,SGP,1998,96
Singapore,SGP,1999,96
Singapore,SGP,2000,97
Singapore,SGP,2001,95
Singapore,SGP,2002,95
Singapore,SGP,2003,95
Singapore,SGP,2004,94
Singapore,SGP,2005,96
Singapore,SGP,2006,95
Singapore,SGP,2007,96
Singapore,SGP,2008,97
Singapore,SGP,2009,96
Singapore,SGP,2010,96
Singapore,SGP,2011,96
Singapore,SGP,2012,97
Singapore,SGP,2013,97
Singapore,SGP,2014,96
Slovakia,SVK,2000,98
Slovakia,SVK,2001,99
Slovakia,SVK,2002,99
Slovakia,SVK,2003,99
Slovakia,SVK,2004,99
Slovakia,SVK,2005,99
Slovakia,SVK,2006,99
Slovakia,SVK,2007,99
Slovakia,SVK,2008,99
Slovakia,SVK,2009,99
Slovakia,SVK,2010,99
Slovakia,SVK,2011,99
Slovakia,SVK,2012,99
Slovakia,SVK,2013,98
Slovakia,SVK,2014,97
Solomon Islands,SLB,1993,53
Solomon Islands,SLB,1994,65
Solomon Islands,SLB,1995,68
Solomon Islands,SLB,1996,97
Solomon Islands,SLB,1997,73
Solomon Islands,SLB,1998,75
Solomon Islands,SLB,1999,79
Solomon Islands,SLB,2000,81
Solomon Islands,SLB,2001,83
Solomon Islands,SLB,2002,75
Solomon Islands,SLB,2003,79
Solomon Islands,SLB,2004,81
Solomon Islands,SLB,2005,83
Solomon Islands,SLB,2006,99
Solomon Islands,SLB,2007,90
Solomon Islands,SLB,2008,89
Solomon Islands,SLB,2009,91
Solomon Islands,SLB,2010,87
Solomon Islands,SLB,2011,92
Solomon Islands,SLB,2012,92
Solomon Islands,SLB,2013,83
Solomon Islands,SLB,2014,77
Somalia,SOM,2013,42
Somalia,SOM,2014,42
South Africa,ZAF,1997,74
South Africa,ZAF,1998,74
South Africa,ZAF,1999,73
South Africa,ZAF,2000,73
South Africa,ZAF,2001,72
South Africa,ZAF,2002,72
South Africa,ZAF,2003,71
South Africa,ZAF,2004,76
South Africa,ZAF,2005,79
South Africa,ZAF,2006,83
South Africa,ZAF,2007,83
South Africa,ZAF,2008,76
South Africa,ZAF,2009,74
South Africa,ZAF,2010,71
South Africa,ZAF,2011,76
South Africa,ZAF,2012,70
South Africa,ZAF,2013,73
South Africa,ZAF,2014,85
South Korea,KOR,1995,99
South Korea,KOR,1996,93
South Korea,KOR,1997,88
South Korea,KOR,1998,82
South Korea,KOR,1999,88
South Korea,KOR,2000,93
South Korea,KOR,2001,89
South Korea,KOR,2002,92
South Korea,KOR,2003,91
South Korea,KOR,2004,92
South Korea,KOR,2005,99
South Korea,KOR,2006,99
South Korea,KOR,2007,91
South Korea,KOR,2008,94
South Korea,KOR,2009,94
South Korea,KOR,2010,94
South Korea,KOR,2011,99
South Korea,KOR,2012,99
South Korea,KOR,2013,99
South Korea,KOR,2014,99
South-East Asia Region (WHO),,1985,0
South-East Asia Region (WHO),,1986,0
South-East Asia Region (WHO),,1987,0
South-East Asia Region (WHO),,1988,0
South-East Asia Region (WHO),,1989,0
South-East Asia Region (WHO),,1990,0
South-East Asia Region (WHO),,1991,0
South-East Asia Region (WHO),,1992,4
South-East Asia Region (WHO),,1993,7
South-East Asia Region (WHO),,1994,7
South-East Asia Region (WHO),,1995,8
South-East Asia Region (WHO),,1996,10
South-East Asia Region (WHO),,1997,10
South-East Asia Region (WHO),,1998,11
South-East Asia Region (WHO),,1999,11
South-East Asia Region (WHO),,2000,10
South-East Asia Region (WHO),,2001,9
South-East Asia Region (WHO),,2002,9
South-East Asia Region (WHO),,2003,11
South-East Asia Region (WHO),,2004,18
South-East Asia Region (WHO),,2005,24
South-East Asia Region (WHO),,2006,27
South-East Asia Region (WHO),,2007,30
South-East Asia Region (WHO),,2008,47
South-East Asia Region (WHO),,2009,53
South-East Asia Region (WHO),,2010,53
South-East Asia Region (WHO),,2011,56
South-East Asia Region (WHO),,2012,77
South-East Asia Region (WHO),,2013,77
South-East Asia Region (WHO),,2014,83
Spain,ESP,1996,82
Spain,ESP,1997,84
Spain,ESP,1998,81
Spain,ESP,1999,80
Spain,ESP,2000,77
Spain,ESP,2001,83
Spain,ESP,2002,82
Spain,ESP,2003,81
Spain,ESP,2004,97
Spain,ESP,2005,96
Spain,ESP,2006,97
Spain,ESP,2007,96
Spain,ESP,2008,97
Spain,ESP,2009,96
Spain,ESP,2010,97
Spain,ESP,2011,97
Spain,ESP,2012,96
Spain,ESP,2013,95
Spain,ESP,2014,96
Sri Lanka,LKA,2003,32
Sri Lanka,LKA,2004,62
Sri Lanka,LKA,2005,99
Sri Lanka,LKA,2006,98
Sri Lanka,LKA,2007,98
Sri Lanka,LKA,2008,98
Sri Lanka,LKA,2009,97
Sri Lanka,LKA,2010,99
Sri Lanka,LKA,2011,99
Sri Lanka,LKA,2012,99
Sri Lanka,LKA,2013,99
Sri Lanka,LKA,2014,99
Sudan,SDN,2005,22
Sudan,SDN,2006,60
Sudan,SDN,2007,78
Sudan,SDN,2008,78
Sudan,SDN,2009,72
Sudan,SDN,2010,75
Sudan,SDN,2011,93
Sudan,SDN,2012,92
Sudan,SDN,2013,93
Sudan,SDN,2014,94
Suriname,SUR,2005,83
Suriname,SUR,2006,84
Suriname,SUR,2007,84
Suriname,SUR,2008,84
Suriname,SUR,2009,87
Suriname,SUR,2010,84
Suriname,SUR,2011,80
Suriname,SUR,2012,76
Suriname,SUR,2013,76
Suriname,SUR,2014,71
Sweden,SWE,2011,29
Sweden,SWE,2012,30
Sweden,SWE,2013,35
Sweden,SWE,2014,42
Syria,SYR,1992,5
Syria,SYR,1993,23
Syria,SYR,1994,64
Syria,SYR,1995,74
Syria,SYR,1996,75
Syria,SYR,1997,76
Syria,SYR,1998,77
Syria,SYR,1999,78
Syria,SYR,2000,79
Syria,SYR,2001,80
Syria,SYR,2002,80
Syria,SYR,2003,81
Syria,SYR,2004,82
Syria,SYR,2005,83
Syria,SYR,2006,83
Syria,SYR,2007,83
Syria,SYR,2008,83
Syria,SYR,2009,84
Syria,SYR,2010,84
Syria,SYR,2011,66
Syria,SYR,2012,43
Syria,SYR,2013,71
Syria,SYR,2014,47
Tajikistan,TJK,2002,39
Tajikistan,TJK,2003,58
Tajikistan,TJK,2004,81
Tajikistan,TJK,2005,81
Tajikistan,TJK,2006,88
Tajikistan,TJK,2007,84
Tajikistan,TJK,2008,86
Tajikistan,TJK,2009,93
Tajikistan,TJK,2010,93
Tajikistan,TJK,2011,96
Tajikistan,TJK,2012,94
Tajikistan,TJK,2013,96
Tajikistan,TJK,2014,97
Tanzania,TZA,2002,89
Tanzania,TZA,2003,95
Tanzania,TZA,2004,95
Tanzania,TZA,2005,90
Tanzania,TZA,2006,90
Tanzania,TZA,2007,83
Tanzania,TZA,2008,86
Tanzania,TZA,2009,85
Tanzania,TZA,2010,91
Tanzania,TZA,2011,90
Tanzania,TZA,2012,92
Tanzania,TZA,2013,91
Tanzania,TZA,2014,97
Thailand,THA,1992,15
Thailand,THA,1993,58
Thailand,THA,1994,66
Thailand,THA,1995,93
Thailand,THA,1996,93
Thailand,THA,1997,94
Thailand,THA,1998,95
Thailand,THA,1999,95
Thailand,THA,2000,95
Thailand,THA,2001,95
Thailand,THA,2002,95
Thailand,THA,2003,96
Thailand,THA,2004,96
Thailand,THA,2005,96
Thailand,THA,2006,96
Thailand,THA,2007,96
Thailand,THA,2008,98
Thailand,THA,2009,98
Thailand,THA,2010,98
Thailand,THA,2011,98
Thailand,THA,2012,98
Thailand,THA,2013,99
Thailand,THA,2014,99
Togo,TGO,2008,24
Togo,TGO,2009,78
Togo,TGO,2010,83
Togo,TGO,2011,85
Togo,TGO,2012,84
Togo,TGO,2013,84
Togo,TGO,2014,84
Tonga,TON,1990,94
Tonga,TON,1991,88
Tonga,TON,1992,82
Tonga,TON,1993,96
Tonga,TON,1994,90
Tonga,TON,1995,91
Tonga,TON,1996,94
Tonga,TON,1997,95
Tonga,TON,1998,96
Tonga,TON,1999,93
Tonga,TON,2000,97
Tonga,TON,2001,96
Tonga,TON,2002,95
Tonga,TON,2003,93
Tonga,TON,2004,99
Tonga,TON,2005,99
Tonga,TON,2006,99
Tonga,TON,2007,99
Tonga,TON,2008,98
Tonga,TON,2009,99
Tonga,TON,2010,99
Tonga,TON,2011,99
Tonga,TON,2012,95
Tonga,TON,2013,99
Tonga,TON,2014,98
Trinidad and Tobago,TTO,2002,5
Trinidad and Tobago,TTO,2003,76
Trinidad and Tobago,TTO,2004,94
Trinidad and Tobago,TTO,2005,95
Trinidad and Tobago,TTO,2006,89
Trinidad and Tobago,TTO,2007,89
Trinidad and Tobago,TTO,2008,90
Trinidad and Tobago,TTO,2009,90
Trinidad and Tobago,TTO,2010,90
Trinidad and Tobago,TTO,2011,90
Trinidad and Tobago,TTO,2012,92
Trinidad and Tobago,TTO,2013,92
Trinidad and Tobago,TTO,2014,92
Tunisia,TUN,1996,83
Tunisia,TUN,1997,88
Tunisia,TUN,1998,91
Tunisia,TUN,1999,94
Tunisia,TUN,2000,94
Tunisia,TUN,2001,94
Tunisia,TUN,2002,93
Tunisia,TUN,2003,92
Tunisia,TUN,2004,96
Tunisia,TUN,2005,97
Tunisia,TUN,2006,99
Tunisia,TUN,2007,98
Tunisia,TUN,2008,99
Tunisia,TUN,2009,99
Tunisia,TUN,2010,98
Tunisia,TUN,2011,98
Tunisia,TUN,2012,97
Tunisia,TUN,2013,98
Tunisia,TUN,2014,98
Turkey,TUR,2000,71
Turkey,TUR,2001,77
Turkey,TUR,2002,72
Turkey,TUR,2003,68
Turkey,TUR,2004,77
Turkey,TUR,2005,85
Turkey,TUR,2006,82
Turkey,TUR,2007,96
Turkey,TUR,2008,92
Turkey,TUR,2009,94
Turkey,TUR,2010,96
Turkey,TUR,2011,96
Turkey,TUR,2012,97
Turkey,TUR,2013,97
Turkey,TUR,2014,96
Turkmenistan,TKM,2002,96
Turkmenistan,TKM,2003,97
Turkmenistan,TKM,2004,96
Turkmenistan,TKM,2005,99
Turkmenistan,TKM,2006,98
Turkmenistan,TKM,2007,98
Turkmenistan,TKM,2008,96
Turkmenistan,TKM,2009,97
Turkmenistan,TKM,2010,96
Turkmenistan,TKM,2011,97
Turkmenistan,TKM,2012,98
